00h38m30s -15d23m00s
00h38m30s -24d20m00s
00h38m36s -15d26m00s
00h38m36s -24d17m00s
00h38m54s +07d02m00s
00h39m00s +48d20m00s
00h39m00s -09d00m00s
00h39m00s -09d01m00s
00h39m06s -14d10m00s
00h39m06s -18d38m00s
00h39m06s -14d10m00s
00h39m12s +05d58m00s
00h39m18s +00d51m00s
00h39m18s +03d20m00s
00h39m18s +03d02m00s
00h39m18s +00d54m00s
00h39m24s +00d53m00s
00h39m24s +02d48m00s
00h39m24s +06d43m00s
00h39m24s +06d48m00s
00h39m30s +02d26m00s
00h39m36s -14d41m00s
00h39m36s +61d04m00s
00h39m36s -09d12m00s
00h39m36s +03d07m00s
00h39m36s +02d53m00s
00h39m36s +06d37m00s
00h39m42s +00d51m00s
00h39m42s +03d31m00s
00h39m42s +03d26m00s
00h39m42s -14d10m00s
00h39m48s +03d17m00s
00h39m54s +06d50m00s
00h40m00s -14d18m00s
00h40m06s -56d10m00s
00h40m24s +41d41m00s
00h40m24s +02d44m00s
00h40m24s +06d42m00s
00h40m30s -73d24m00s
00h40m36s +40d44m00s
00h40m36s -13d52m00s
00h40m36s -73d24m00s
00h40m36s +06d45m00s
00h40m42s -00d19m00s
00h40m48s -56d13m00s
00h41m00s +03d26m00s
00h41m00s -73d22m00s
00h41m06s -15d26m00s
00h41m12s +16d28m00s
00h41m12s +16d16m00s
00h41m24s -21d03m00s
00h41m30s +25d30m00s
00h41m30s -10d02m00s
00h41m48s +36d21m00s
00h42m12s +00d51m00s
00h42m12s -23d32m00s
00h42m18s +00d54m00s
00h42m24s -23d38m00s
00h42m24s +29d38m00s
00h42m36s -01d32m00s
00h42m42s +40d52m00s
00h42m42s +00d51m00s
00h42m42s +41d16m00s
00h42m42s -23d34m00s
00h42m42s +29d40m00s
00h42m48s +32d34m00s
00h42m48s +23d30m00s
00h42m48s -23d33m00s
00h42m54s -13d45m00s
00h43m00s +23d29m00s
00h43m00s +27d15m00s
00h43m06s -22d15m00s
00h43m24s +61d47m00s
00h43m24s +30d35m00s
00h43m24s +14d20m00s
00h43m24s -50d11m00s
00h43m24s -73d26m00s
00h43m30s +02d56m00s
00h43m30s -00d07m00s
00h43m36s -73d27m00s
00h43m36s -07d53m00s
00h43m36s -04d09m00s
00h44m00s +85d20m00s
00h44m00s +01d51m00s
00h44m12s -25d06m00s
00h44m30s -25d04m00s
00h44m36s -03d47m00s
00h44m36s -08d08m00s
00h45m06s +06d08m00s
00h45m24s -73d23m00s
00h45m24s -73d05m00s
00h45m36s -26d34m00s
00h45m48s -15d36m00s
00h45m54s +29d56m00s
00h45m54s -73d30m00s
00h46m06s -01d44m00s
00h46m06s -25d54m00s
00h46m12s -09d30m00s
00h46m18s +29d55m00s
00h46m18s -24d18m00s
00h46m24s -13d26m00s
00h46m30s -73d07m00s
00h47m00s -11d53m00s
00h47m06s -20d46m00s
00h47m12s +23d05m00s
00h47m18s +07d55m00s
00h47m18s +23d03m00s
00h47m24s +27d49m00s
00h47m30s -31d25m00s
00h47m36s -25d17m00s
00h47m36s -73d29m00s
00h47m48s +19d34m00s
00h47m48s -11d28m00s
00h47m54s +22d22m00s
00h48m00s +27d38m00s
00h48m00s -73d17m00s
00h48m06s +08d19m00s
00h48m06s -02d47m00s
00h48m12s +27d38m00s
00h48m18s -38d14m00s
00h48m24s +04d06m00s
00h48m30s -73d32m00s
00h48m36s +27d42m00s
00h48m48s +31d57m00s
00h48m48s -23d34m00s
00h48m54s -13d06m00s
00h49m48s +32d16m00s
00h50m12s -05d12m00s
00h50m30s +10d37m00s
00h50m42s -08d39m00s
00h50m48s -01d53m00s
00h50m48s -06d53m00s
00h50m48s -02d17m00s
00h51m00s -07d03m00s
00h51m00s -23d33m00s
00h51m06s -07d04m00s
00h51m18s -73d09m00s
00h51m24s +35d50m00s
00h51m30s -08d35m00s
00h51m30s -12d51m00s
00h51m30s -34d28m00s
00h51m42s +07d43m00s
00h52m06s -22d41m00s
00h52m06s +47d33m00s
00h52m06s -73d21m00s
00h52m06s -22d41m00s
00h52m18s -02d12m00s
00h52m30s +24d20m00s
00h52m42s -31d12m00s
00h52m48s +56d37m00s
00h52m48s +30d37m00s
00h52m48s -26d35m00s
00h52m48s -72d50m00s
00h53m06s +56d35m00s
00h53m18s -13d11m00s
00h53m30s +05d46m00s
00h53m30s -58d07m00s
00h53m36s -13d09m00s
00h53m36s -13d06m00s
00h53m36s +32d29m00s
00h53m36s -08d45m00s
00h53m42s -13d10m00s
00h53m42s -47d39m00s
00h53m48s -45d11m00s
00h54m00s -72d10m00s
00h54m18s -07d14m00s
00h54m30s -23d29m00s
00h54m42s +32d30m00s
00h54m42s +21d31m00s
00h54m42s +05d46m00s
00h54m48s -16d40m00s
00h54m48s +11d50m00s
00h54m54s -37d41m00s
00h54m54s -72d13m00s
00h55m00s -07d21m00s
00h55m00s -07d21m00s
00h55m00s -23d31m00s
00h55m06s -13d41m00s
00h55m12s +31d31m00s
00h55m24s +31d40m00s
00h55m36s -24d09m00s
00h55m54s -09d59m00s
00h56m00s +12d06m00s
00h56m06s +24d07m00s
00h56m06s -13d23m00s
00h56m12s -72d29m00s
00h56m18s -10d40m00s
00h56m18s -52d47m00s
00h56m24s -10d39m00s
00h56m24s -01d47m00s
00h56m36s -01d46m00s
00h56m42s -09d55m00s
00h56m42s -52d59m00s
00h56m42s +61d04m00s
00h56m54s -01d46m00s
00h56m54s -31d58m00s
00h57m00s -43d50m00s
00h57m00s -52d55m00s
00h57m00s -45d25m00s
00h57m06s +07d31m00s
00h57m12s -43d44m00s
00h57m24s -05d02m00s
00h57m36s +30d16m00s
00h57m36s +43d47m00s
00h57m36s -48d54m00s
00h57m42s -74d29m00s
00h57m48s +30d21m00s
00h57m48s +30d21m00s
00h57m48s +30d21m00s
00h57m54s -05d08m00s
00h57m54s -05d08m00s
00h58m00s -05d04m00s
00h58m00s -16d15m00s
00h58m06s +30d25m00s
00h58m24s +26d52m00s
00h58m24s -12d11m00s
00h58m36s -40d30m00s
00h58m36s -02d43m00s
00h58m42s +11d49m00s
00h58m48s -20d50m00s
00h58m48s +07d06m00s
00h58m48s -16d29m00s
00h58m48s -35d08m00s
00h58m48s -18d46m00s
00h58m54s +00d36m00s
00h59m06s -72d11m00s
00h59m18s -18d14m00s
00h59m24s +27d03m00s
00h59m24s -34d20m00s
00h59m30s +60d49m00s
00h59m42s -72d21m00s
00h59m48s -07d35m00s
00h59m48s -40d20m00s
01h00m00s -72d23m00s
01h00m18s -06d55m00s
01h00m24s -06d57m00s
01h00m30s +30d48m00s
01h00m36s +30d39m00s
01h00m36s -06d53m00s
01h00m48s -09d11m00s
01h00m48s -06d47m00s
01h00m48s -23d14m00s
01h00m54s -53d15m00s
01h00m54s +47d41m00s
01h01m06s +00d03m00s
01h01m18s -06d47m00s
01h01m24s -06d54m00s
01h01m24s -06d49m00s
01h01m24s +31d03m00s
01h01m30s -06d46m00s
01h01m36s -23d16m00s
01h01m42s -15d34m00s
01h01m54s -06d49m00s
01h02m00s -06d49m00s
01h02m06s -01d55m00s
01h02m06s -04d15m00s
01h02m12s -71d33m00s
01h02m36s -01d56m00s
01h02m54s -65d37m00s
01h03m12s -06d20m00s
01h03m12s -70d51m00s
01h03m18s +22d20m00s
01h03m18s -07d00m00s
01h03m18s -72d05m00s
01h03m24s -06d20m00s
01h03m54s -72d49m00s
01h04m06s -35d07m00s
01h04m06s -51d08m00s
01h04m18s -51d02m00s
01h04m24s -00d45m00s
01h04m24s -43d16m00s
01h04m36s -00d51m00s
01h04m48s +02d07m00s
01h04m54s -12d09m00s
01h04m54s +04d46m00s
01h04m54s -27d26m00s
01h05m06s -17d45m00s
01h05m06s +33d13m00s
01h05m12s +62d02m00s
01h05m18s -72d00m00s
01h05m18s -72d02m00s
01h05m54s +04d05m00s
